25110 	-343090093.878 	9840817.46288 	-7664306.12413 	4882063.33882 	32.4257261217 	19.370785674 	
25129 	-300270129.395 	68827819.9469 	-4861253.68484 	6921246.49406 	27.0643972988 	24.3746886406 	
25113 	-260842023.782 	-4154708.63952 	-4816826.81574 	3090293.84289 	37.9702486978 	25.2228155694 	
CAN43 	-46724287.3208 	1384494.53749 	-1115994.65072 	538181.578196 	34.4536079922 	15.3744487711 	
25142 	-277158250.159 	5865832.76931 	-6562825.36134 	4092611.23122 	30.8081469078 	18.3183200313 	
CAN98 	-318408039.432 	6413486.57988 	-5626884.34343 	5096791.05795 	31.6509662215 	27.5294222484 	
CANA6 	-238249282.167 	4591455.31526 	-4327392.59175 	3636083.67524 	32.7942828919 	26.4943147445 	
25145 	-275600751.07 	8341453.06253 	-6562825.36134 	4092611.23122 	30.8066450206 	17.9401647709 	
CAN47 	-122146205.967 	8763335.92392 	-3103000.70195 	2702969.27404 	23.7800392631 	17.8902246155 	
CAN46 	26714205.9664 	-54886728.4878 	-479843.066064 	-2002571.99495 	22.8970621959 	18.8263905564 	
CAN52 	-58814231.8066 	-1252769.94571 	-1315177.78995 	821025.95093 	31.7511313142 	20.7738245999 	
25105 	-300449786.994 	-5933165.47942 	-7222755.89105 	5937537.92556 	24.4198647526 	20.8960458947 	
25115 	-310093344.865 	35446983.6495 	-6038409.58264 	5800516.34904 	29.6409848196 	22.6029770803 	
CAN53 	-187310449.241 	15792562.9472 	-4605875.65931 	4288084.5112 	23.4951299739 	18.4452526006 	
CAN49 	-71391785.2422 	-424152.102777 	-1588682.94676 	1159708.4303 	29.1888788918 	21.5743116615 	
CAN48 	-29742334.7451 	-202610.257326 	-548065.358101 	445524.590438 	32.4945317662 	26.7846215729 	
94108 	-354016213.715 	2575184.70871 	-8624531.84295 	4958960.20361 	30.9778268314 	17.5131390889 	
CAN42 	-141615864.066 	-5680888.6785 	-3052615.44634 	1798075.93311 	33.6280781444 	21.6688698034 	
25118 	-351035251.82 	-10183265.7443 	-8664437.19118 	5672345.15853 	27.8211312825 	19.3889483382 	
25101 	-245294420.718 	21808383.474 	-5169756.80924 	4518919.52379 	28.9872585135 	21.1195050352 	
CAN44 	-87031385.3323 	2379862.68526 	-1896259.71649 	902258.272551 	37.9107154285 	16.7832463305 	
25119 	-334867898.999 	8942205.55894 	-8242233.54275 	5752528.2507 	27.8294682301 	18.3381841649 	
CAN05 	-157223815.261 	6998509.66441 	-3683163.36322 	3053689.68663 	26.2312611819 	19.8480531176 	
CAN50 	-117320722.68 	4962614.30112 	-2043636.9069 	1976188.42347 	30.8803569989 	27.4328524422 	
CAN45 	-84134718.91 	2927334.0691 	-2240502.92861 	1347497.92873 	28.1538631488 	15.6259283407 	
CAN04 	-178197891.474 	-4762212.89415 	-4367426.12325 	2648143.61642 	29.349978346 	18.8864489897 	
CAN51 	-99577748.8049 	4560304.92555 	-1806047.35239 	1488606.82329 	34.0706278018 	25.5571727027 	
CAN03 	-150821675.746 	8713261.62653 	-3716520.10707 	3313942.62625 	23.7714571942 	18.8520394452 	
CANA4 	-53250214.2442 	-19301302.8531 	-310953.273389 	5554.65840265 	170.0852081 	65.1096798655 	
16903 	-192277475.446 	-4386279.52637 	-2385870.17905 	1905477.6056 	48.3085317004 	40.4200973246 	
26005 	-182575772.409 	-22943420.5682 	-2386788.99535 	1502735.4572 	50.4454035901 	41.3733754379 	
CAN39 	-122400282.905 	-12159343.2182 	-1466157.21537 	-71132.9659562 	83.6891089553 	4.23303082024 	
16914 	-22992821.8018 	-2657580.33238 	-244970.815216 	166785.432358 	59.0850280633 	51.0758894802 	
CAN93 	-30121763.7456 	-7374991.6887 	-446925.510785 	62834.779609 	63.8162845235 	25.4737614826 	
CAN69 	-16892879.2004 	-26159377.5752 	-358459.200311 	-103301.206275 	62.9307477131 	54.8418213497 	
16801 	-224387140.384 	4160913.41108 	-3194071.0382 	1805466.2738 	53.7982252545 	29.1070445097 	
CAN37 	-62441292.9562 	-31032223.5683 	-1074594.36053 	273386.769955 	47.6743214284 	41.0068709942 	
CANA5 	-43005254.2452 	2756353.88468 	-423990.60605 	557315.39244 	40.3165844402 	46.4932451643 	
16895 	-175454363.851 	-3163544.36332 	-1999478.89463 	1149647.54665 	65.2643034274 	39.1074348883 	
16603 	-234849719.445 	-57513357.6653 	-2815203.28574 	1171592.29367 	63.8597139394 	47.0058084483 	
CANA7 	-15998900.9419 	-7029291.43379 	-184943.20902 	-105850.848959 	81.5475800725 	-8.6653041001 	
CAN86 	-101127454.578 	5039395.10896 	-1300942.93872 	979807.254099 	51.4608789499 	34.8841951769 	
