25110 	-168071314.923 	-11452567.5302 	-27372144.5945 	11187002.78 	5.11486469538 	2.5088488357 	
25129 	144811401.226 	90350450.2324 	37389774.0887 	5995613.21025 	4.15370322078 	1.7503837326 	
25113 	-142516826.573 	2951659.99856 	-23758007.6112 	8388385.04337 	5.3727676572 	1.77275740238 	
CAN43 	-21479785.8423 	-3631256.96461 	-3391681.62337 	1378864.52438 	5.06130096635 	3.12827278398 	
25142 	-147461108.007 	-12503978.374 	-28107252.1718 	9422480.55627 	4.58227645895 	1.98099724838 	
CAN98 	-171122850.504 	-11924186.6727 	-32053642.8001 	11674585.6671 	4.59375606806 	2.0451461892 	
CANA6 	-128490717.088 	-10881678.9834 	-24574594.9422 	8370361.77124 	4.54991620662 	1.99255059043 	
25145 	-147953252.187 	-12533619.8591 	-28107252.1718 	9422480.55627 	4.59769920868 	1.98722204914 	
CAN47 	-65546716.427 	-8546866.19972 	-11620435.9212 	2899013.8057 	5.13740963464 	2.01716078597 	
CAN46 	-25788675.3249 	-20987735.6133 	-5926966.05437 	-1628503.36931 	4.95030437886 	2.18090472167 	
CAN52 	-38517161.276 	-5556701.7852 	-9461073.82197 	2762692.25843 	3.59323129467 	1.63656835969 	
25105 	-181889976.402 	-12133801.73 	-38985715.3252 	13541647.0497 	4.06678382393 	1.72383018602 	
25115 	-178397112.579 	-11903707.6957 	-34331626.5231 	12434104.4476 	4.48270954518 	1.97025871592 	
CAN53 	-122929813.811 	-11845341.5666 	-28312707.5586 	7898256.49847 	3.92008126442 	1.51194119458 	
CAN49 	-39903931.0386 	-5898962.69922 	-8473646.81639 	2568967.37206 	4.11949193503 	1.94506608865 	
CAN48 	-16570154.7942 	-2836456.03563 	-3352372.87678 	1187289.21625 	4.12566397791 	2.30726493466 	
94108 	-164138426.264 	-11274608.7491 	-27655549.0387 	11705314.1369 	4.88706092778 	2.47614654184 	
CAN42 	-75133961.5237 	-9334769.88672 	-15385969.6262 	4398224.66868 	4.35405086097 	1.85135317983 	
25118 	-165191819.249 	-11341918.1848 	-32257508.4767 	12570681.1223 	4.32691101229 	2.03779336561 	
25101 	-142782420.783 	-6249892.35263 	-29719074.0351 	9501662.29865 	4.29784869248 	1.58438984955 	
CAN44 	-39872441.5473 	-6204785.85517 	-6545225.62212 	2299400.40976 	5.12613933161 	2.74884836268 	
25119 	-169099008.061 	-8715542.22104 	-31890901.5514 	11794509.1532 	4.57550474571 	1.965493974 	
CAN05 	-80513772.9184 	-10343150.7829 	-13988512.4604 	4557652.97831 	4.98555798543 	2.3637677042 	
CAN50 	-67175735.8487 	-8438548.81033 	-12687751.2076 	3701175.93473 	4.70052164649 	2.03629516266 	
CAN45 	-40918046.1869 	-6344814.15227 	-6621710.4541 	1921866.05057 	5.44278933876 	2.53788297137 	
CAN04 	-91095701.6833 	-6526153.39474 	-20121077.6404 	6816054.46453 	3.96276583888 	1.66673881897 	
CAN51 	-56996856.956 	-8267735.4569 	-10998818.5373 	3937428.49022 	4.35489449026 	2.31068646223 	
CAN03 	-82590365.3571 	-10564094.9252 	-15949129.5861 	4380921.66548 	4.6458929455 	1.93850001775 	
CANA4 	-174933045.44 	-13300657.9249 	-14536559.8974 	8477982.78667 	8.58145102922 	5.91983609895 	
16903 	-160344017.157 	-12428898.4006 	-35544784.6603 	22354762.9117 	3.07489196978 	2.2835242959 	
26005 	-194780441.792 	-11370913.5628 	-39423659.9553 	26001664.4657 	3.31043226934 	2.47180659475 	
CAN39 	-114264402.965 	-11630702.3739 	-16296646.0914 	10800084.0417 	4.54320198894 	3.72454953814 	
16914 	-18349389.4788 	-2980739.86285 	-4026964.52784 	2440949.45182 	3.00417018916 	2.56117663018 	
CAN93 	-35089039.2315 	-5635368.43393 	-6279197.64686 	3795668.45057 	3.69535548777 	3.13124602509 	
CAN69 	-30573779.8527 	-4929932.7647 	-6604688.10085 	3361610.66416 	3.37490710059 	2.46416730299 	
16801 	-186537182.052 	-11548803.8098 	-35140260.4531 	24348374.4252 	3.43263935663 	2.707094111 	
CAN37 	-50387864.9161 	-6977889.47003 	-11400800.7246 	6102419.39568 	3.18076223677 	2.31459484945 	
CANA5 	-98784402.3209 	-12150520.4423 	-20587388.6646 	9189289.37716 	3.7814680495 	2.27807058893 	
16895 	-182572090.021 	-12598392.2573 	-33245057.1255 	23489676.6476 	3.48442475505 	2.8409156495 	
16603 	-197008262.847 	-12964888.3862 	-33251699.2059 	24125379.1131 	3.69617932171 	3.07162094665 	
CANA7 	-28418603.2603 	19180176.9659 	-2545614.54957 	1205786.40488 	12.0329105939 	-1.83494274949 	
CAN86 	-99989902.8506 	-10993456.0569 	-19843668.8732 	11552739.7078 	3.52244251616 	2.60472586556 	
CAN38 	-86140264.8049 	-33568286.5944 	-22180894.1514 	6637097.83876 	3.14876171198 	2.45557847109 	
CAN40 	-20101812.9068 	-3141674.40721 	-3814336.57102 	1809994.34194 	3.98247963484 	2.71343124039 	
17901 	-173578574.967 	-13455096.1112 	-30608014.5857 	18534953.512 	3.95464348253 	2.83436316895 	
CAN79 	-25608762.3607 	-4255364.2211 	-3883707.14577 	2329094.90492 	4.36641207825 	3.71427396657 	
CAN80 	-9122669.87885 	8837447.75324 	-3546016.95082 	1880450.7281 	3.03951089609 	-0.880367273736 	
CAN81 	-37192619.3441 	-5381586.61132 	-5377696.2071 	3666394.6081 	4.25568451248 	3.90215522661 	
14636 	-150985119.175 	-10651930.2285 	-24094032.0734 	14709721.0247 	4.36837861842 	3.10905044068 	
